coventry	coventry.n.02.l
gloucester	gloucester.n.02.l
stratford-upon-avon	stratford-on-avon.n.01.l
winchester	winchester.n.01.l
avon	avon.n.03.l
berkshire	berkshire.n.01.l
cornwall	cornwall.n.01.l
cumbria	cumbria.n.02.l
cumbria	cumbria.n.01.l
devon	devon.n.01.l
devonshire	devon.n.01.l
essex	essex.n.01.l
gloucestershire	gloucestershire.n.01.l
hampshire	hampshire.n.01.l
hertfordshire	hertfordshire.n.01.l
kent	kent.n.01.l
somerset	somerset.n.01.l
east_sussex	east_sussex.n.01.l
hastings	hastings.n.02.l
west_sussex	west_sussex.n.01.l
canterbury	canterbury.n.01.l
leicestershire	leicestershire.n.01.l
leicester	leicestershire.n.01.l
lincolnshire	lincolnshire.n.01.l
northumberland	northumberland.n.01.l
surrey	surrey.n.01.l
yorkshire	yorkshire.n.01.l
north_yorkshire	north_yorkshire.n.01.l
west_yorkshire	west_yorkshire.n.01.l
south_yorkshire	south_yorkshire.n.01.l
naseby	naseby.n.01.l
northumbria	northumbria.n.01.l
sussex	sussex.n.01.l
wessex	wessex.n.01.l
bangor	bangor.n.03.l
belfast	belfast.n.01.l
cork	cork.n.03.l
galway	galway.n.01.l
tara	tara.n.01.l
waterford	waterford.n.01.l
aberdeen	aberdeen.n.04.l
ayr	ayr.n.01.l
edinburgh	edinburgh.n.01.l
aberdare	aberdare.n.01.l
bangor	bangor.n.02.l
cardiff	cardiff.n.01.l
newport	newport.n.01.l
swansea	swansea.n.01.l
egypt	egypt.n.01.l
united_arab_republic	egypt.n.01.l
alexandria	alexandria.n.02.l
cairo	cairo.n.02.l
nag_hammadi	nag_hammadi.n.01.l
luxor	luxor.n.01.l
saqqara	saqqara.n.01.l
suez	suez.n.01.l
india	india.n.01.l
sikkim	sikkim.n.01.l
new_delhi	new_delhi.n.01.l
delhi	delhi.n.01.l
bangalore	bangalore.n.01.l
jabalpur	jabalpur.n.01.l
calcutta	kolkata.n.01.l
mumbai	mumbai.n.01.l
bombay	mumbai.n.01.l
agra	agra.n.01.l
hyderabad	hyderabad.n.02.l
chennai	chennai.n.01.l
madras	chennai.n.01.l
lucknow	lucknow.n.01.l
mysore	mysore.n.01.l
salem	salem.n.03.l
tamil_nadu	tamil_nadu.n.01.l
madras	tamil_nadu.n.01.l
uttar_pradesh	uttar_pradesh.n.01.l
west_bengal	west_bengal.n.01.l
indonesia	indonesia.n.01.l
jakarta	jakarta.n.01.l
bandung	bandung.n.01.l
medan	medan.n.01.l
teheran	teheran.n.01.l
tehran	teheran.n.01.l
abadan	abadan.n.01.l
isfahan	isfahan.n.01.l
esfahan	isfahan.n.01.l
shiraz	shiraz.n.01.l
persepolis	persepolis.n.01.l
iraq	iraq.n.01.l
baghdad	baghdad.n.01.l
bagdad	baghdad.n.01.l
karbala	kerbala.n.01.l
kirkuk	kirkuk.n.01.l
mosul	mosul.n.01.l
philippi	philippi.n.01.l
edirne	edirne.n.01.l
babylon	babylon.n.01.l
babylonia	babylonia.n.01.l
assyria	assyria.n.01.l
assur	assur.n.01.l
japan	japan.n.02.l
tokyo	tokyo.n.01.l
yeddo	tokyo.n.01.l
edo	tokyo.n.01.l
nagano	nagano.n.01.l
nagoya	nagoya.n.01.l
kobe	kobe.n.01.l
kyoto	kyoto.n.01.l
hiroshima	hiroshima.n.01.l
fukuoka	fukuoka.n.01.l
nagasaki	nagasaki.n.01.l
toyota	toyota.n.01.l
jordan	jordan.n.02.l
amman	amman.n.01.l
jericho	jericho.n.01.l
kenya	kenya.n.01.l
nairobi	nairobi.n.01.l
kisumu	kisumu.n.01.l
mombasa	mombasa.n.01.l
nakuru	nakuru.n.01.l
kuwait	kuwait.n.02.l
kuwait	kuwait.n.01.l
kuwait_city	kuwait.n.01.l
france	france.n.01.l
paris	paris.n.01.l
avignon	avignon.n.01.l
bordeaux	bordeaux.n.01.l
brest	brest.n.01.l
calais	calais.n.01.l
chablis	chablis.n.01.l
chartres	chartres.n.01.l
cherbourg	cherbourg.n.01.l
dijon	dijon.n.01.l
dunkirk	dunkirk.n.02.l
grenoble	grenoble.n.01.l
le_havre	le_havre.n.01.l
lille	lille.n.01.l
lyon	lyon.n.01.l
lyons	lyon.n.01.l
marseille	marseille.n.01.l
marseilles	marseille.n.01.l
nancy	nancy.n.01.l
nantes	nantes.n.01.l
nice	nice.n.01.l
rheims	rheims.n.01.l
reims	rheims.n.01.l
tours	tours.n.01.l
valenciennes	valenciennes.n.01.l
versailles	versailles.n.01.l
vichy	vichy.n.01.l
vienne	vienne.n.01.l
gabon	gabon.n.01.l
libreville	libreville.n.01.l
banjul	banjul.n.01.l
ghana	ghana.n.01.l
gold_coast	ghana.n.01.l
accra	accra.n.01.l
kumasi	kumasi.n.01.l
tamale	tamale.n.01.l
guinea	guinea.n.03.l
conakry	conakry.n.01.l
portuguese_guinea	guinea-bissau.n.01.l
bissau	bissau.n.01.l
guyana	guyana.n.01.l
british_guiana	guyana.n.01.l
georgetown	georgetown.n.02.l
stabroek	georgetown.n.02.l
netherlands	netherlands.n.01.l
kingdom_of_the_netherlands	netherlands.n.01.l
nederland	netherlands.n.01.l
holland	netherlands.n.01.l
amsterdam	amsterdam.n.01.l
apeldoorn	apeldoorn.n.01.l
arnhem	arnhem.n.01.l
nijmegen	nijmegen.n.01.l
leiden	leiden.n.01.l
leyden	leiden.n.01.l
utrecht	utrecht.n.01.l
friesland	friesland.n.01.l
hungary	hungary.n.01.l
budapest	budapest.n.01.l
reykjavik	reykjavik.n.01.l
pyongyang	pyongyang.n.01.l
south_korea	south_korea.n.01.l
seoul	seoul.n.01.l
incheon	inchon.n.01.l
vientiane	vientiane.n.01.l
bayrut	bayrut.n.01.l
beirut	bayrut.n.01.l
sur	sur.n.01.l
tyre	sur.n.01.l
maseru	maseru.n.01.l
liberia	liberia.n.01.l
benghazi	benghazi.n.01.l
vaduz	vaduz.n.01.l
luxembourg	luxembourg.n.02.l
luxemburg	luxembourg.n.02.l
luxembourg	luxembourg-ville.n.01.l
luxemburg	luxembourg-ville.n.01.l
skopje	skopje.n.01.l
madagascar	madagascar.n.01.l
antananarivo	antananarivo.n.01.l
malawi	malawi.n.01.l
