bismarck_sea	bismarck_sea.n.01
bristol_channel	bristol_channel.n.01
broadway	broadway.n.01
bourgogne	bourgogne.n.01
buzzards_bay	buzzards_bay.n.01
cape_hatteras	cape_hatteras.n.01
cape_province	cape_province.n.01
caspian	caspian.n.01
cebu	cebu.n.01
colorado_desert	colorado_desert.n.01
detroit_river	detroit_river.n.01
east_china_sea	east_china_sea.n.01
east_river	east_river.n.01
english_channel	english_channel.n.01
channel_island	channel_island.n.01
solent	solent.n.01
wight	wight.n.02
european_union	european_union.n.01
fifth_avenue	fifth_avenue.n.01
firth_of_forth	firth_of_forth.n.01
france	france.n.01
alps	alps.n.01
dolomite_alps	dolomite_alps.n.01
matterhorn	matterhorn.n.01
mont_blanc	mont_blanc.n.01
tyrolean_alps	tyrolean_alps.n.01
weisshorn	weisshorn.n.01
alsace	alsace.n.01
anjou	anjou.n.01
aquitaine	aquitaine.n.01
artois	artois.n.01
auvergne	auvergne.n.01
avignon	avignon.n.01
bordeaux	bordeaux.n.01
bourgogne	bourgogne.n.01
brest	brest.n.01
bretagne	bretagne.n.01
calais	calais.n.01
cannes	cannes.n.01
centre	centre.n.01
chablis	chablis.n.01
champagne	champagne.n.02
ardennes	ardennes.n.01
chartres	chartres.n.01
chartres_cathedral	chartres_cathedral.n.01
cherbourg	cherbourg.n.01
corse	corse.n.02
dijon	dijon.n.01
franche-comte	franche-comte.n.01
french_region	french_region.n.01
garonne	garonne.n.01
gascogne	gascogne.n.01
grenoble	grenoble.n.01
ile-de-france	ile-de-france.n.01
isere	isere.n.01
lake_geneva	lake_geneva.n.01
languedoc-roussillon	languedoc-roussillon.n.01
lascaux	lascaux.n.01
le_havre	le_havre.n.01
lille	lille.n.01
limousin	limousin.n.01
loire	loire.n.01
loire_valley	loire_valley.n.01
lorraine	lorraine.n.01
lyon	lyon.n.01
maginot_line	maginot_line.n.01
marseille	marseille.n.01
massif_central	massif_central.n.01
meuse	meuse.n.01
midi-pyrenees	midi-pyrenees.n.01
midi	midi.n.01
mont_blanc	mont_blanc.n.01
nancy	nancy.n.01
nantes	nantes.n.01
nice	nice.n.01
nord-pas-de-calais	nord-pas-de-calais.n.01
normandie	normandie.n.01
basse-normandie	basse-normandie.n.01
haute-normandie	haute-normandie.n.01
orleanais	orleanais.n.01
orleans	orleans.n.01
paris	paris.n.01
bastille	bastille.n.01
champs_elysees	champs_elysees.n.01
clichy	clichy.n.01
eiffel_tower	eiffel_tower.n.01
ile-st-louis	ile-st-louis.n.01
left_bank	left_bank.n.01
quai_d'orsay	quai_d'orsay.n.01
louvre	louvre.n.01
montmartre	montmartre.n.01
orly	orly.n.01
paris_university	paris_university.n.01
right_bank	right_bank.n.01
tuileries	tuileries.n.01
tuileries	tuileries.n.02
pays_de_la_loire	pays_de_la_loire.n.01
mayenne	mayenne.n.01
picardie	picardie.n.01
poitou-charentes	poitou-charentes.n.01
provence	provence.n.01
pyrenees	pyrenees.n.01
rheims	rheims.n.01
rhine	rhine.n.02
rhone-alpes	rhone-alpes.n.01
lyonnais	lyonnais.n.01
lyon	lyon.n.01
rhone	rhone.n.01
riviera	riviera.n.01
french_riviera	french_riviera.n.01
sambre	sambre.n.01
saone	saone.n.01
savoy	savoy.n.01
scheldt	scheldt.n.01
seine	seine.n.01
toulon	toulon.n.01
toulouse	toulouse.n.01
tours	tours.n.01
valenciennes	valenciennes.n.01
versailles	versailles.n.01
versailles	versailles.n.02
vichy	vichy.n.01
vienne	vienne.n.01
frisia	frisia.n.01
friesland	friesland.n.01
galloway	galloway.n.01
eden	eden.n.02
gilbert_and_ellice_islands	gilbert_and_ellice_islands.n.01
great_lakes	great_lakes.n.01
lake_erie	lake_erie.n.01
lake_huron	lake_huron.n.01
lake_michigan	lake_michigan.n.01
lake_ontario	lake_ontario.n.01
lake_superior	lake_superior.n.01
great_rift_valley	great_rift_valley.n.01
gulf_of_carpentaria	gulf_of_carpentaria.n.01
gulf_of_thailand	gulf_of_thailand.n.01
hebrides	hebrides.n.01
inner_hebrides	inner_hebrides.n.01
islay	islay.n.02
isle_of_skye	isle_of_skye.n.01
mull	mull.n.02
staffa	staffa.n.01
fingal's_cave	fingal's_cave.n.01
outer_hebrides	outer_hebrides.n.01
hejaz	hejaz.n.01
mecca	mecca.n.01
kaaba	kaaba.n.01
medina	medina.n.01
hudson_bay	hudson_bay.n.01
iditarod_trail	iditarod_trail.n.01
inland_sea	inland_sea.n.01
ionia	ionia.n.01
ionian_sea	ionian_sea.n.01
gulf_of_corinth	gulf_of_corinth.n.01
irish_sea	irish_sea.n.01
james_bay	james_bay.n.01
chalcedon	chalcedon.n.01
denmark	denmark.n.01
aalborg	aalborg.n.01
arhus	arhus.n.01
copenhagen	copenhagen.n.01
frisian_islands	frisian_islands.n.01
viborg	viborg.n.01
zealand	zealand.n.01
netherlands	netherlands.n.01
amsterdam	amsterdam.n.01
apeldoorn	apeldoorn.n.01
arnhem	arnhem.n.01
eindhoven	eindhoven.n.01
friesland	friesland.n.02
frisian_islands	frisian_islands.n.01
hook_of_holland	hook_of_holland.n.01
ijssel	ijssel.n.01
ijsselmeer	ijsselmeer.n.01
leiden	leiden.n.01
meuse	meuse.n.01
nijmegen	nijmegen.n.01
rhine	rhine.n.02
rotterdam	rotterdam.n.01
the_hague	the_hague.n.01
utrecht	utrecht.n.01
korea	korea.n.01
north_korea	north_korea.n.01
pyongyang	pyongyang.n.01
yalu	yalu.n.01
south_korea	south_korea.n.01
inchon	inchon.n.01
kwangju	kwangju.n.01
pusan	pusan.n.01
seoul	seoul.n.01
taegu	taegu.n.01
baikal	baikal.n.01
constance	constance.n.01
lake_tahoe	lake_tahoe.n.01
lake_victoria	lake_victoria.n.01
lower_egypt	lower_egypt.n.01
macedonia	macedonia.n.01
skopje	skopje.n.01
mariana_islands	mariana_islands.n.01
guam	guam.n.01
northern_marianas	northern_marianas.n.01
saipan	saipan.n.01
